fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,ticker
12 sept 2025,240.8,242.42,238.5,241.38,241.22,14536600,GOOG
11 sept 2025,240.14,242.57,236.58,240.78,240.62,21308600,GOOG
10 sept 2025,239.25,242.08,238.11,239.56,239.4,19990100,GOOG
9 sept 2025,234.19,240.59,233.38,239.94,239.78,22854800,GOOG
8 sept 2025,235.79,238.4,233.73,234.16,234.01,23128800,GOOG
5 sept 2025,232.66,236.13,232.38,235.17,234.81,26127700,GOOG
4 sept 2025,230.15,232.77,226.76,232.66,232.3,32196000,GOOG
3 sept 2025,226.48,231.8,225.12,231.1,230.74,72250300,GOOG
2 sept 2025,208.99,212.37,206.96,211.99,211.66,28900100,GOOG
29 ago 2025,211.27,215.34,210.97,213.53,213.2,24682200,GOOG
28 ago 2025,207.84,212.9,207.6,212.37,212.04,20915700,GOOG
27 ago 2025,206.46,209.57,206.39,208.21,207.89,15249000,GOOG
26 ago 2025,208.37,208.46,206.45,207.95,207.63,23051000,GOOG
25 ago 2025,207.0,211.09,205.95,209.16,208.84,22788800,GOOG
22 ago 2025,203.96,209.23,202.13,206.72,206.4,25723700,GOOG
21 ago 2025,200.72,203.36,200.4,200.62,200.31,11768900,GOOG
20 ago 2025,201.68,202.17,197.46,200.19,199.88,13971700,GOOG
19 ago 2025,203.9,204.29,200.93,202.49,202.18,13476600,GOOG
18 ago 2025,205.07,206.14,203.41,204.29,203.97,13000200,GOOG
15 ago 2025,204.72,207.33,202.09,204.91,204.59,21111400,GOOG
14 ago 2025,202.56,205.42,202.32,203.82,203.51,17777100,GOOG
13 ago 2025,204.98,205.43,198.64,203.03,202.72,19573000,GOOG
12 ago 2025,202.1,205.13,201.4,204.16,203.84,19854000,GOOG
11 ago 2025,201.55,202.16,199.8,201.63,201.32,16690200,GOOG
8 ago 2025,197.98,203.43,197.9,202.09,201.78,24379900,GOOG
7 ago 2025,197.71,198.37,195.22,197.28,196.98,14660600,GOOG
6 ago 2025,195.25,197.38,194.47,196.92,196.62,15383700,GOOG
5 ago 2025,195.54,198.7,194.68,195.32,195.02,19010200,GOOG
4 ago 2025,191.18,196.08,190.92,195.75,195.45,23386000,GOOG
1 ago 2025,189.78,191.62,188.7,189.95,189.66,21236700,GOOG
31 jul 2025,196.6,196.83,192.08,192.86,192.56,27852000,GOOG
30 jul 2025,196.3,198.48,195.56,197.44,197.14,21150500,GOOG
